motor_id,motor_type,day,date,load_pct,temp_c,true_fault,true_severity,f0_hz,fr_hz,slip,rms_a,rms_b,rms_c,rms_mean,crest,thd,sideband_ratio,ecc_ratio,bearing_band,unbalance_pct,vib_rms,vib_crest,vib_high_ratio,health,status,suspected_cause,action,degradation,iforest_anomaly
K001,TestRig,13,2024-01-14,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.767,1.771,1.777,1.772,1.446,0.0056,2.0,0.0392,0.0464,0.57,0.0643,6.361,0.5207,85.1,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,4.636,True
K001,TestRig,14,2024-01-15,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.767,1.773,1.776,1.772,1.433,0.0056,2.0,0.0466,0.0485,0.47,0.0661,8.343,0.5365,78.4,Watch,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",5.964,True
K001,TestRig,15,2024-01-16,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.768,1.774,1.774,1.772,1.447,0.0059,2.0,0.0476,0.0486,0.38,0.0677,5.959,0.5608,77.3,Watch,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",6.185,True
K001,TestRig,16,2024-01-17,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.773,1.774,1.772,1.454,0.0159,2.0,0.0079,0.0079,0.3,0.0657,6.764,0.5338,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.045,False
K001,TestRig,17,2024-01-18,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.772,1.772,1.771,1.454,0.0167,2.0,0.0073,0.0073,0.21,0.0686,5.534,0.5505,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.449,False
K001,TestRig,18,2024-01-19,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.77,1.772,1.773,1.772,1.464,0.017,2.0,0.0078,0.0078,0.14,0.0669,6.186,0.5687,93.7,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.083,False
K001,TestRig,19,2024-01-20,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.77,1.772,1.772,1.771,1.466,0.0174,2.0,0.0077,0.0077,0.11,0.0684,6.614,0.5376,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.943,False
K001,TestRig,20,2024-01-21,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.769,1.772,1.77,1.445,0.0068,2.0,0.0284,0.0284,0.15,0.0671,5.722,0.5277,96.8,Healthy,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",2.545,False
K001,TestRig,21,2024-01-22,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.771,1.765,1.775,1.77,1.442,0.0068,2.0,0.0289,0.0289,0.55,0.0691,6.093,0.5602,90.1,Healthy,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",3.708,False
K001,TestRig,22,2024-01-23,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.769,1.768,1.776,1.771,1.438,0.0076,2.0,0.0241,0.0241,0.47,0.066,5.362,0.5159,100.0,Healthy,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",1.908,True
K001,TestRig,23,2024-01-24,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.778,1.771,1.444,0.0067,2.0,0.025,0.0253,0.65,0.0688,5.532,0.5331,96.8,Healthy,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",2.558,True
K001,TestRig,24,2024-01-25,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.77,1.772,1.77,1.458,0.0174,2.0,0.0086,0.0086,0.13,0.0674,7.784,0.485,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.006,False
K001,TestRig,25,2024-01-26,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.767,1.773,1.77,1.449,0.0166,2.0,0.0089,0.0089,0.35,0.0665,5.456,0.5416,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.855,False
K001,TestRig,26,2024-01-27,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.775,1.77,1.427,0.0167,2.0,0.0082,0.0082,0.56,0.0695,5.742,0.517,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.173,False
K001,TestRig,27,2024-01-28,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.769,1.766,1.777,1.771,1.422,0.0175,2.0,0.0069,0.0069,0.6,0.0702,7.571,0.541,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.846,False
K001,TestRig,28,2024-01-29,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.766,1.772,1.773,1.77,1.439,0.0154,2.0,0.0068,0.0068,0.38,0.0684,7.05,0.5317,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.957,False
K001,TestRig,29,2024-01-30,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.771,1.77,1.441,0.015,2.0,0.0094,0.0094,0.23,0.0666,6.311,0.5612,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.542,False
K001,TestRig,30,2024-01-31,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.771,1.77,1.449,0.0171,2.0,0.0069,0.0069,0.13,0.0645,5.643,0.5565,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.478,False
K001,TestRig,31,2024-02-01,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.769,1.771,1.77,1.445,0.0171,2.0,0.0096,0.0096,0.11,0.0696,5.935,0.5611,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.936,False
K001,TestRig,32,2024-02-02,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.766,1.774,1.769,1.445,0.0071,2.0,0.023,0.034,0.45,0.0676,6.534,0.549,96.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.694,False
K001,TestRig,33,2024-02-03,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.765,1.765,1.776,1.768,1.439,0.0069,2.0,0.0226,0.0357,0.6,0.066,8.157,0.5789,80.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,5.532,True
K001,TestRig,34,2024-02-04,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.766,1.776,1.77,1.445,0.0031,2.0,0.0219,0.0324,0.59,0.0681,5.329,0.5356,96.4,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.624,False
K001,TestRig,35,2024-02-05,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.765,1.768,1.774,1.769,1.446,0.0047,2.0,0.0307,0.0369,0.48,0.0619,5.989,0.5598,89.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.919,False
K001,TestRig,36,2024-02-06,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.769,1.765,1.773,1.769,1.434,0.0165,2.0,0.0052,0.0052,0.5,0.0707,6.143,0.5546,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.557,False
K001,TestRig,37,2024-02-07,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.77,1.767,1.776,1.771,1.43,0.0169,2.0,0.009,0.009,0.52,0.0654,6.147,0.5043,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.963,False
K001,TestRig,38,2024-02-08,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.768,1.765,1.776,1.77,1.425,0.0166,2.0,0.0048,0.0048,0.63,0.0687,8.197,0.5307,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.025,False
K001,TestRig,39,2024-02-09,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.767,1.777,1.77,1.421,0.017,2.0,0.0069,0.0069,0.61,0.0663,5.777,0.5741,94.7,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.906,False
K001,TestRig,40,2024-02-10,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.775,1.773,1.447,0.0166,2.0,0.0051,0.0051,0.32,0.0681,7.163,0.5225,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.167,False
K001,TestRig,41,2024-02-11,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.773,1.768,1.777,1.773,1.438,0.0173,2.0,0.0063,0.0063,0.51,0.0704,7.593,0.5379,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.627,False
K001,TestRig,42,2024-02-12,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.771,1.769,1.779,1.773,1.431,0.0173,2.0,0.0066,0.0066,0.58,0.0671,6.286,0.5415,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.219,False
K001,TestRig,43,2024-02-13,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.769,1.769,1.779,1.773,1.452,0.0156,2.0,0.0063,0.0063,0.56,0.0658,4.845,0.5408,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.023,False
K001,TestRig,44,2024-02-14,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.777,1.772,1.433,0.0157,2.0,0.006,0.006,0.55,0.0668,7.386,0.5315,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.272,False
K001,TestRig,45,2024-02-15,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.778,1.772,1.426,0.0158,2.0,0.0056,0.0056,0.58,0.068,11.858,0.5995,74.9,Watch,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,6.688,False
K001,TestRig,46,2024-02-16,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.778,1.772,1.441,0.0155,2.0,0.0059,0.0059,0.59,0.0664,6.972,0.5069,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.132,False
K001,TestRig,47,2024-02-17,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.768,1.778,1.771,1.431,0.0157,2.0,0.0052,0.0052,0.59,0.0671,5.577,0.5441,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.017,False
K001,TestRig,48,2024-02-18,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.772,1.769,1.773,1.771,1.447,0.0166,2.0,0.0086,0.0086,0.21,0.068,5.444,0.5603,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.761,False
K001,TestRig,49,2024-02-19,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.771,1.767,1.774,1.771,1.441,0.0167,2.0,0.0074,0.0074,0.37,0.0718,6.249,0.5344,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.056,False
K001,TestRig,50,2024-02-20,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.771,1.767,1.775,1.771,1.432,0.0164,2.0,0.0081,0.0081,0.47,0.0682,7.141,0.5596,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.943,False
K001,TestRig,51,2024-02-21,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.777,1.771,1.436,0.0167,2.0,0.0076,0.0076,0.58,0.0665,5.737,0.5623,99.6,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.088,False
K001,TestRig,52,2024-02-22,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.767,1.772,1.774,1.771,1.447,0.0157,2.0,0.0073,0.0073,0.41,0.0661,5.98,0.5371,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.715,False
K001,TestRig,53,2024-02-23,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.767,1.773,1.773,1.771,1.453,0.0158,2.0,0.0076,0.0076,0.32,0.067,6.424,0.5506,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.217,False
K001,TestRig,54,2024-02-24,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.769,1.773,1.773,1.772,1.465,0.0161,2.0,0.0081,0.0081,0.22,0.0683,5.696,0.5126,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.7,False
K001,TestRig,55,2024-02-25,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.77,1.771,1.772,1.771,1.438,0.0172,2.0,0.0079,0.0079,0.12,0.0656,5.571,0.5318,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.907,False
K001,TestRig,56,2024-02-26,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.768,1.77,1.779,1.772,1.427,0.0157,2.0,0.0092,0.0092,0.59,0.0675,4.782,0.5896,90.4,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.658,False
K001,TestRig,57,2024-02-27,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.777,1.772,1.438,0.0151,2.0,0.0093,0.0093,0.55,0.068,7.042,0.5541,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.55,False
K001,TestRig,58,2024-02-28,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.767,1.773,1.775,1.772,1.44,0.0149,2.0,0.0095,0.0095,0.46,0.0675,7.083,0.5395,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.87,False
K001,TestRig,59,2024-02-29,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.769,1.773,1.773,1.772,1.438,0.0152,2.0,0.0101,0.0101,0.24,0.0678,6.401,0.5396,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.705,False
K001,TestRig,60,2024-03-01,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.77,1.778,1.772,1.445,0.0153,2.0,0.0066,0.0066,0.52,0.0668,5.162,0.5114,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.789,False
K001,TestRig,61,2024-03-02,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.777,1.772,1.447,0.0155,2.0,0.0068,0.0068,0.53,0.0652,7.82,0.5474,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.414,False
K001,TestRig,62,2024-03-03,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.774,1.777,1.773,1.444,0.0153,2.0,0.0066,0.0066,0.46,0.0642,5.145,0.5303,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.591,False
K001,TestRig,63,2024-03-04,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.768,1.773,1.774,1.772,1.446,0.016,2.0,0.0067,0.0067,0.32,0.0704,5.495,0.5653,99.8,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.065,False
K001,TestRig,64,2024-03-05,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.772,1.771,1.774,1.772,1.458,0.0172,2.0,0.0071,0.0071,0.16,0.0731,7.389,0.5854,86.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,4.37,False
K001,TestRig,65,2024-03-06,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.774,1.772,1.456,0.0162,2.0,0.0043,0.0044,0.23,0.0694,6.625,0.5616,99.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.196,False
K001,TestRig,66,2024-03-07,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.776,1.773,1.458,0.0162,2.0,0.0051,0.0051,0.4,0.068,6.846,0.5484,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.559,False
K001,TestRig,67,2024-03-08,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.771,1.768,1.777,1.772,1.444,0.0162,2.0,0.0051,0.0051,0.52,0.0686,5.434,0.5501,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.214,False
K001,TestRig,68,2024-03-09,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.77,1.775,1.772,1.454,0.0165,2.0,0.0077,0.0077,0.26,0.0656,5.288,0.5577,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.75,False
K001,TestRig,69,2024-03-10,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.769,1.775,1.772,1.454,0.0167,2.0,0.0069,0.0069,0.37,0.0681,6.751,0.5393,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.236,False
K001,TestRig,70,2024-03-11,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.768,1.775,1.772,1.448,0.0146,2.0,0.0062,0.0063,0.38,0.0682,5.734,0.5546,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.143,False
K001,TestRig,71,2024-03-12,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.776,1.773,1.43,0.0168,2.0,0.0069,0.0069,0.42,0.0701,6.608,0.577,94.9,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.874,False
K001,TestRig,72,2024-03-13,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.778,1.773,1.454,0.016,2.0,0.0076,0.0076,0.5,0.0687,6.385,0.579,93.4,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.138,False
K001,TestRig,73,2024-03-14,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.446,0.0161,2.0,0.0076,0.0076,0.55,0.0659,6.008,0.5591,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.719,False
K001,TestRig,74,2024-03-15,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.452,0.0158,2.0,0.0065,0.0065,0.52,0.065,7.734,0.5062,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.449,False
K001,TestRig,75,2024-03-16,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.444,0.016,2.0,0.0078,0.0078,0.54,0.0632,7.826,0.5027,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.367,False
K001,TestRig,76,2024-03-17,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.772,1.771,1.773,1.772,1.446,0.0171,2.0,0.0079,0.0079,0.14,0.0706,6.999,0.5777,93.2,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.156,False
K001,TestRig,77,2024-03-18,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.774,1.772,1.776,1.774,1.451,0.0172,2.0,0.0076,0.0076,0.21,0.065,5.047,0.5789,94.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.945,False
K001,TestRig,78,2024-03-19,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.776,1.773,1.435,0.0168,2.0,0.0077,0.0077,0.35,0.0687,5.27,0.5316,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.961,False
K001,TestRig,79,2024-03-20,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.777,1.773,1.437,0.0168,2.0,0.0083,0.0083,0.42,0.0704,6.634,0.5475,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.11,False
K002,TestRig,0,2024-01-01,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.818,1.83,1.824,1.824,1.456,0.0102,2.0,0.013,0.0143,0.67,0.034,5.917,0.5219,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.362,False
K002,TestRig,1,2024-01-02,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.828,1.841,1.832,1.834,1.449,0.0144,2.0,0.0067,0.0067,0.68,0.0338,8.456,0.5406,99.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.103,False
K002,TestRig,2,2024-01-03,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.825,1.836,1.828,1.83,1.452,0.0154,2.0,0.0071,0.0071,0.62,0.0352,7.659,0.5413,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.796,False
K002,TestRig,3,2024-01-04,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.818,1.827,1.823,1.823,1.46,0.011,2.0,0.0116,0.0116,0.49,0.0348,5.497,0.5467,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.176,False
K002,TestRig,4,2024-01-05,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.805,1.816,1.815,1.812,1.47,0.015,2.0,0.0042,0.0067,0.62,0.0371,6.263,0.575,90.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.648,False
K002,TestRig,5,2024-01-06,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.806,1.819,1.817,1.814,1.447,0.0169,2.0,0.0058,0.0058,0.74,0.0373,9.713,0.5359,95.4,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.791,False
K002,TestRig,6,2024-01-07,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.804,1.822,1.816,1.814,1.441,0.015,2.0,0.004,0.0049,0.96,0.035,6.998,0.5257,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.782,False
K002,TestRig,7,2024-01-08,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.808,1.825,1.817,1.816,1.444,0.0162,2.0,0.0046,0.0046,0.95,0.0365,5.864,0.5489,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.949,False
K002,TestRig,8,2024-01-09,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.804,1.823,1.813,1.813,1.436,0.0173,2.0,0.0071,0.0071,1.08,0.0354,8.008,0.558,91.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",3.543,False
K002,TestRig,9,2024-01-10,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.81,1.827,1.821,1.819,1.436,0.0188,2.0,0.0068,0.0068,0.96,0.0357,6.295,0.5712,89.9,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,3.744,False
K002,TestRig,10,2024-01-11,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.808,1.826,1.818,1.817,1.43,0.0149,2.0,0.0082,0.0082,0.97,0.0358,8.853,0.5598,91.1,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",3.527,False
K002,TestRig,11,2024-01-12,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.812,1.83,1.823,1.822,1.439,0.0196,2.0,0.0066,0.0066,1.01,0.0348,5.635,0.5713,88.3,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,4.035,False
