motor_id,motor_type,day,date,load_pct,temp_c,true_fault,true_severity,f0_hz,fr_hz,slip,rms_a,rms_b,rms_c,rms_mean,crest,thd,sideband_ratio,ecc_ratio,bearing_band,unbalance_pct,vib_rms,vib_crest,vib_high_ratio
K001,TestRig,20,2024-01-21,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.769,1.772,1.77,1.445,0.0068,2.0,0.0284,0.0284,0.15,0.0671,5.722,0.5277
K001,TestRig,21,2024-01-22,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.771,1.765,1.775,1.77,1.442,0.0068,2.0,0.0289,0.0289,0.55,0.0691,6.093,0.5602
K001,TestRig,22,2024-01-23,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.769,1.768,1.776,1.771,1.438,0.0076,2.0,0.0241,0.0241,0.47,0.066,5.362,0.5159
K001,TestRig,23,2024-01-24,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.778,1.771,1.444,0.0067,2.0,0.025,0.0253,0.65,0.0688,5.532,0.5331
K001,TestRig,24,2024-01-25,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.77,1.772,1.77,1.458,0.0174,2.0,0.0086,0.0086,0.13,0.0674,7.784,0.485
K001,TestRig,25,2024-01-26,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.767,1.773,1.77,1.449,0.0166,2.0,0.0089,0.0089,0.35,0.0665,5.456,0.5416
K001,TestRig,26,2024-01-27,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.775,1.77,1.427,0.0167,2.0,0.0082,0.0082,0.56,0.0695,5.742,0.517
K001,TestRig,27,2024-01-28,70.0,46.5,healthy,0.0,100.0,24.99,0.002,1.769,1.766,1.777,1.771,1.422,0.0175,2.0,0.0069,0.0069,0.6,0.0702,7.571,0.541
K001,TestRig,28,2024-01-29,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.766,1.772,1.773,1.77,1.439,0.0154,2.0,0.0068,0.0068,0.38,0.0684,7.05,0.5317
K001,TestRig,29,2024-01-30,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.771,1.77,1.441,0.015,2.0,0.0094,0.0094,0.23,0.0666,6.311,0.5612
K001,TestRig,30,2024-01-31,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.771,1.77,1.449,0.0171,2.0,0.0069,0.0069,0.13,0.0645,5.643,0.5565
K001,TestRig,31,2024-02-01,70.0,46.4,healthy,0.0,100.0,24.99,0.002,1.77,1.769,1.771,1.77,1.445,0.0171,2.0,0.0096,0.0096,0.11,0.0696,5.935,0.5611
K001,TestRig,32,2024-02-02,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.766,1.774,1.769,1.445,0.0071,2.0,0.023,0.034,0.45,0.0676,6.534,0.549
K001,TestRig,33,2024-02-03,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.765,1.765,1.776,1.768,1.439,0.0069,2.0,0.0226,0.0357,0.6,0.066,8.157,0.5789
K001,TestRig,34,2024-02-04,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.766,1.776,1.77,1.445,0.0031,2.0,0.0219,0.0324,0.59,0.0681,5.329,0.5356
K001,TestRig,35,2024-02-05,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.765,1.768,1.774,1.769,1.446,0.0047,2.0,0.0307,0.0369,0.48,0.0619,5.989,0.5598
K001,TestRig,36,2024-02-06,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.769,1.765,1.773,1.769,1.434,0.0165,2.0,0.0052,0.0052,0.5,0.0707,6.143,0.5546
K001,TestRig,37,2024-02-07,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.77,1.767,1.776,1.771,1.43,0.0169,2.0,0.009,0.009,0.52,0.0654,6.147,0.5043
K001,TestRig,38,2024-02-08,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.768,1.765,1.776,1.77,1.425,0.0166,2.0,0.0048,0.0048,0.63,0.0687,8.197,0.5307
K001,TestRig,39,2024-02-09,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.767,1.767,1.777,1.77,1.421,0.017,2.0,0.0069,0.0069,0.61,0.0663,5.777,0.5741
K001,TestRig,40,2024-02-10,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.775,1.773,1.447,0.0166,2.0,0.0051,0.0051,0.32,0.0681,7.163,0.5225
K001,TestRig,41,2024-02-11,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.773,1.768,1.777,1.773,1.438,0.0173,2.0,0.0063,0.0063,0.51,0.0704,7.593,0.5379
K001,TestRig,42,2024-02-12,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.771,1.769,1.779,1.773,1.431,0.0173,2.0,0.0066,0.0066,0.58,0.0671,6.286,0.5415
K001,TestRig,43,2024-02-13,70.0,46.7,healthy,0.0,100.0,24.99,0.002,1.769,1.769,1.779,1.773,1.452,0.0156,2.0,0.0063,0.0063,0.56,0.0658,4.845,0.5408
K001,TestRig,44,2024-02-14,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.777,1.772,1.433,0.0157,2.0,0.006,0.006,0.55,0.0668,7.386,0.5315
K001,TestRig,45,2024-02-15,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.778,1.772,1.426,0.0158,2.0,0.0056,0.0056,0.58,0.068,11.858,0.5995
K001,TestRig,46,2024-02-16,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.769,1.778,1.772,1.441,0.0155,2.0,0.0059,0.0059,0.59,0.0664,6.972,0.5069
K001,TestRig,47,2024-02-17,70.0,45.8,healthy,0.0,100.0,24.99,0.002,1.768,1.768,1.778,1.771,1.431,0.0157,2.0,0.0052,0.0052,0.59,0.0671,5.577,0.5441
K001,TestRig,48,2024-02-18,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.772,1.769,1.773,1.771,1.447,0.0166,2.0,0.0086,0.0086,0.21,0.068,5.444,0.5603
K001,TestRig,49,2024-02-19,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.771,1.767,1.774,1.771,1.441,0.0167,2.0,0.0074,0.0074,0.37,0.0718,6.249,0.5344
K001,TestRig,50,2024-02-20,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.771,1.767,1.775,1.771,1.432,0.0164,2.0,0.0081,0.0081,0.47,0.0682,7.141,0.5596
K001,TestRig,51,2024-02-21,70.0,46.6,healthy,0.0,100.0,24.99,0.002,1.77,1.766,1.777,1.771,1.436,0.0167,2.0,0.0076,0.0076,0.58,0.0665,5.737,0.5623
K001,TestRig,52,2024-02-22,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.767,1.772,1.774,1.771,1.447,0.0157,2.0,0.0073,0.0073,0.41,0.0661,5.98,0.5371
K001,TestRig,53,2024-02-23,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.767,1.773,1.773,1.771,1.453,0.0158,2.0,0.0076,0.0076,0.32,0.067,6.424,0.5506
K001,TestRig,54,2024-02-24,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.769,1.773,1.773,1.772,1.465,0.0161,2.0,0.0081,0.0081,0.22,0.0683,5.696,0.5126
K001,TestRig,55,2024-02-25,70.0,46.0,healthy,0.0,100.0,24.99,0.002,1.77,1.771,1.772,1.771,1.438,0.0172,2.0,0.0079,0.0079,0.12,0.0656,5.571,0.5318
K001,TestRig,56,2024-02-26,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.768,1.77,1.779,1.772,1.427,0.0157,2.0,0.0092,0.0092,0.59,0.0675,4.782,0.5896
K001,TestRig,57,2024-02-27,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.777,1.772,1.438,0.0151,2.0,0.0093,0.0093,0.55,0.068,7.042,0.5541
K001,TestRig,58,2024-02-28,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.767,1.773,1.775,1.772,1.44,0.0149,2.0,0.0095,0.0095,0.46,0.0675,7.083,0.5395
K001,TestRig,59,2024-02-29,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.769,1.773,1.773,1.772,1.438,0.0152,2.0,0.0101,0.0101,0.24,0.0678,6.401,0.5396
K001,TestRig,60,2024-03-01,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.77,1.778,1.772,1.445,0.0153,2.0,0.0066,0.0066,0.52,0.0668,5.162,0.5114
K001,TestRig,61,2024-03-02,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.767,1.771,1.777,1.772,1.447,0.0155,2.0,0.0068,0.0068,0.53,0.0652,7.82,0.5474
K001,TestRig,62,2024-03-03,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.774,1.777,1.773,1.444,0.0153,2.0,0.0066,0.0066,0.46,0.0642,5.145,0.5303
K001,TestRig,63,2024-03-04,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.768,1.773,1.774,1.772,1.446,0.016,2.0,0.0067,0.0067,0.32,0.0704,5.495,0.5653
K001,TestRig,64,2024-03-05,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.772,1.771,1.774,1.772,1.458,0.0172,2.0,0.0071,0.0071,0.16,0.0731,7.389,0.5854
K001,TestRig,65,2024-03-06,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.774,1.772,1.456,0.0162,2.0,0.0043,0.0044,0.23,0.0694,6.625,0.5616
K001,TestRig,66,2024-03-07,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.776,1.773,1.458,0.0162,2.0,0.0051,0.0051,0.4,0.068,6.846,0.5484
K001,TestRig,67,2024-03-08,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.771,1.768,1.777,1.772,1.444,0.0162,2.0,0.0051,0.0051,0.52,0.0686,5.434,0.5501
K001,TestRig,68,2024-03-09,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.77,1.775,1.772,1.454,0.0165,2.0,0.0077,0.0077,0.26,0.0656,5.288,0.5577
K001,TestRig,69,2024-03-10,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.769,1.775,1.772,1.454,0.0167,2.0,0.0069,0.0069,0.37,0.0681,6.751,0.5393
K001,TestRig,70,2024-03-11,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.772,1.768,1.775,1.772,1.448,0.0146,2.0,0.0062,0.0063,0.38,0.0682,5.734,0.5546
K001,TestRig,71,2024-03-12,70.0,46.1,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.776,1.773,1.43,0.0168,2.0,0.0069,0.0069,0.42,0.0701,6.608,0.577
K001,TestRig,72,2024-03-13,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.778,1.773,1.454,0.016,2.0,0.0076,0.0076,0.5,0.0687,6.385,0.579
K001,TestRig,73,2024-03-14,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.446,0.0161,2.0,0.0076,0.0076,0.55,0.0659,6.008,0.5591
K001,TestRig,74,2024-03-15,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.452,0.0158,2.0,0.0065,0.0065,0.52,0.065,7.734,0.5062
K001,TestRig,75,2024-03-16,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.769,1.771,1.779,1.773,1.444,0.016,2.0,0.0078,0.0078,0.54,0.0632,7.826,0.5027
K001,TestRig,76,2024-03-17,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.772,1.771,1.773,1.772,1.446,0.0171,2.0,0.0079,0.0079,0.14,0.0706,6.999,0.5777
K001,TestRig,77,2024-03-18,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.774,1.772,1.776,1.774,1.451,0.0172,2.0,0.0076,0.0076,0.21,0.065,5.047,0.5789
K001,TestRig,78,2024-03-19,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.776,1.773,1.435,0.0168,2.0,0.0077,0.0077,0.35,0.0687,5.27,0.5316
K001,TestRig,79,2024-03-20,70.0,46.2,healthy,0.0,100.0,24.99,0.002,1.773,1.769,1.777,1.773,1.437,0.0168,2.0,0.0083,0.0083,0.42,0.0704,6.634,0.5475
K002,TestRig,0,2024-01-01,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.818,1.83,1.824,1.824,1.456,0.0102,2.0,0.013,0.0143,0.67,0.034,5.917,0.5219
K002,TestRig,1,2024-01-02,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.828,1.841,1.832,1.834,1.449,0.0144,2.0,0.0067,0.0067,0.68,0.0338,8.456,0.5406
K002,TestRig,2,2024-01-03,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.825,1.836,1.828,1.83,1.452,0.0154,2.0,0.0071,0.0071,0.62,0.0352,7.659,0.5413
K002,TestRig,3,2024-01-04,70.0,51.8,healthy,0.0,100.0,24.99,0.002,1.818,1.827,1.823,1.823,1.46,0.011,2.0,0.0116,0.0116,0.49,0.0348,5.497,0.5467
K002,TestRig,4,2024-01-05,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.805,1.816,1.815,1.812,1.47,0.015,2.0,0.0042,0.0067,0.62,0.0371,6.263,0.575
K002,TestRig,5,2024-01-06,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.806,1.819,1.817,1.814,1.447,0.0169,2.0,0.0058,0.0058,0.74,0.0373,9.713,0.5359
K002,TestRig,6,2024-01-07,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.804,1.822,1.816,1.814,1.441,0.015,2.0,0.004,0.0049,0.96,0.035,6.998,0.5257
K002,TestRig,7,2024-01-08,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.808,1.825,1.817,1.816,1.444,0.0162,2.0,0.0046,0.0046,0.95,0.0365,5.864,0.5489
K002,TestRig,8,2024-01-09,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.804,1.823,1.813,1.813,1.436,0.0173,2.0,0.0071,0.0071,1.08,0.0354,8.008,0.558
K002,TestRig,9,2024-01-10,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.81,1.827,1.821,1.819,1.436,0.0188,2.0,0.0068,0.0068,0.96,0.0357,6.295,0.5712
K002,TestRig,10,2024-01-11,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.808,1.826,1.818,1.817,1.43,0.0149,2.0,0.0082,0.0082,0.97,0.0358,8.853,0.5598
K002,TestRig,11,2024-01-12,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.812,1.83,1.823,1.822,1.439,0.0196,2.0,0.0066,0.0066,1.01,0.0348,5.635,0.5713
K002,TestRig,12,2024-01-13,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.803,1.815,1.812,1.81,1.447,0.0146,2.0,0.0033,0.0062,0.65,0.0367,7.232,0.5322
K002,TestRig,13,2024-01-14,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.802,1.812,1.812,1.809,1.437,0.009,2.0,0.0159,0.0159,0.55,0.0345,5.735,0.5568
K002,TestRig,14,2024-01-15,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.805,1.817,1.814,1.812,1.438,0.0174,2.0,0.009,0.009,0.65,0.035,5.862,0.5575
K002,TestRig,15,2024-01-16,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.807,1.82,1.818,1.815,1.437,0.0157,2.0,0.0078,0.0078,0.7,0.0369,5.837,0.5721
K002,TestRig,16,2024-01-17,70.0,51.0,healthy,0.0,100.0,25.0,0.002,1.814,1.829,1.825,1.823,1.442,0.0163,2.0,0.0094,0.0094,0.83,0.0349,5.828,0.5489
K002,TestRig,17,2024-01-18,70.0,51.0,healthy,0.0,100.0,25.0,0.002,1.81,1.83,1.82,1.82,1.432,0.0139,2.0,0.0066,0.0084,1.08,0.037,12.258,0.5821
K002,TestRig,18,2024-01-19,70.0,51.0,healthy,0.0,100.0,25.0,0.002,1.814,1.831,1.822,1.822,1.429,0.0156,2.0,0.0113,0.0113,0.94,0.0361,9.056,0.5448
K002,TestRig,19,2024-01-20,70.0,51.0,healthy,0.0,100.0,25.0,0.002,1.801,1.812,1.807,1.807,1.438,0.0123,2.0,0.0096,0.0096,0.56,0.0345,5.552,0.58
K002,TestRig,20,2024-01-21,70.0,51.3,healthy,0.0,100.0,24.99,0.002,1.811,1.822,1.814,1.815,1.445,0.0133,2.0,0.0055,0.0061,0.6,0.0352,7.172,0.5534
K002,TestRig,21,2024-01-22,70.0,51.3,healthy,0.0,100.0,24.99,0.002,1.814,1.826,1.818,1.819,1.446,0.0151,2.0,0.007,0.007,0.71,0.0347,6.905,0.554
K002,TestRig,22,2024-01-23,70.0,51.3,healthy,0.0,100.0,24.99,0.002,1.805,1.815,1.81,1.81,1.449,0.0129,2.0,0.0073,0.0073,0.53,0.0357,6.049,0.582
K002,TestRig,23,2024-01-24,70.0,51.3,healthy,0.0,100.0,24.99,0.002,1.813,1.831,1.821,1.821,1.445,0.0058,2.0,0.0118,0.0155,1.01,0.0352,7.135,0.586
K002,TestRig,24,2024-01-25,70.0,51.2,healthy,0.0,100.0,25.0,0.002,1.807,1.825,1.815,1.816,1.432,0.0184,2.0,0.0054,0.0054,0.97,0.0376,9.055,0.5861
K002,TestRig,25,2024-01-26,70.0,51.2,healthy,0.0,100.0,25.0,0.002,1.804,1.822,1.813,1.813,1.437,0.0156,2.0,0.0112,0.0112,0.96,0.0351,9.723,0.5807
K002,TestRig,26,2024-01-27,70.0,51.2,healthy,0.0,100.0,25.0,0.002,1.8,1.816,1.805,1.807,1.434,0.0154,2.0,0.0051,0.0052,0.89,0.0335,6.957,0.5669
K002,TestRig,27,2024-01-28,70.0,51.2,healthy,0.0,100.0,25.0,0.002,1.803,1.821,1.81,1.811,1.44,0.0166,2.0,0.0059,0.0059,0.96,0.0355,6.639,0.5348
K002,TestRig,28,2024-01-29,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.802,1.82,1.814,1.812,1.44,0.0145,2.0,0.0039,0.0043,0.99,0.0335,6.564,0.5746
K002,TestRig,29,2024-01-30,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.804,1.82,1.812,1.812,1.44,0.007,2.0,0.018,0.018,0.9,0.0356,9.037,0.5613
K002,TestRig,30,2024-01-31,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.807,1.825,1.817,1.816,1.444,0.0148,2.0,0.0047,0.0047,0.99,0.0356,6.601,0.5488
K002,TestRig,31,2024-02-01,70.0,51.0,healthy,0.0,100.0,24.99,0.002,1.806,1.819,1.81,1.812,1.454,0.0158,2.0,0.0076,0.0076,0.76,0.0364,9.214,0.5604
K002,TestRig,32,2024-02-02,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.806,1.823,1.814,1.814,1.431,0.0152,2.0,0.0072,0.0072,0.98,0.0355,7.625,0.5729
K002,TestRig,33,2024-02-03,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.806,1.824,1.815,1.815,1.444,0.0187,2.0,0.0069,0.0069,0.97,0.0348,6.785,0.5783
K002,TestRig,34,2024-02-04,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.804,1.821,1.81,1.812,1.439,0.0174,2.0,0.0083,0.0083,0.93,0.0353,6.688,0.5618
K002,TestRig,35,2024-02-05,70.0,51.2,healthy,0.0,100.0,24.99,0.002,1.803,1.818,1.808,1.81,1.432,0.0142,2.0,0.0064,0.0064,0.86,0.0342,7.551,0.5264
K002,TestRig,36,2024-02-06,70.0,51.0,healthy,0.0,109.0,25.0,0.002,1.801,1.817,1.814,1.811,1.474,0.0063,2.0,0.0257,0.036,0.85,0.0337,5.049,0.5668
K002,TestRig,37,2024-02-07,70.0,51.0,healthy,0.0,109.0,25.0,0.002,1.801,1.82,1.815,1.812,1.441,0.004,2.0,0.0295,0.0392,1.05,0.035,7.279,0.5676
K002,TestRig,38,2024-02-08,70.0,51.0,healthy,0.0,109.0,25.0,0.002,1.801,1.818,1.806,1.808,1.45,0.0055,2.0,0.0199,0.027,0.93,0.0346,6.771,0.5289
K002,TestRig,39,2024-02-09,70.0,51.0,healthy,0.0,109.0,25.0,0.002,1.803,1.816,1.808,1.809,1.472,0.0059,2.0,0.0315,0.0424,0.7,0.0336,5.304,0.556
K002,TestRig,40,2024-02-10,70.0,50.9,healthy,0.0,100.0,24.99,0.002,1.797,1.809,1.809,1.805,1.451,0.0168,2.0,0.0121,0.0121,0.69,0.0352,6.994,0.5684
K002,TestRig,41,2024-02-11,70.0,50.9,healthy,0.0,100.0,24.99,0.002,1.8,1.814,1.811,1.808,1.44,0.0179,2.0,0.0115,0.0115,0.79,0.0372,7.03,0.5747
K002,TestRig,42,2024-02-12,70.0,50.9,healthy,0.0,100.0,24.99,0.002,1.799,1.816,1.81,1.808,1.428,0.0193,2.0,0.0073,0.0073,0.95,0.035,7.47,0.544
K002,TestRig,43,2024-02-13,70.0,50.9,healthy,0.0,100.0,24.99,0.002,1.801,1.819,1.809,1.809,1.474,0.016,2.0,0.013,0.013,1.0,0.0348,8.714,0.55
K002,TestRig,44,2024-02-14,70.0,51.5,healthy,0.0,100.0,24.99,0.002,1.809,1.828,1.819,1.819,1.453,0.017,2.0,0.0083,0.0083,1.02,0.0356,6.622,0.5032
K002,TestRig,45,2024-02-15,70.0,51.5,healthy,0.0,100.0,24.99,0.002,1.81,1.827,1.82,1.819,1.435,0.0148,2.0,0.0028,0.0055,0.95,0.0347,8.269,0.542
K002,TestRig,46,2024-02-16,70.0,51.5,healthy,0.0,100.0,24.99,0.002,1.808,1.826,1.818,1.817,1.439,0.0173,2.0,0.007,0.007,1.02,0.036,5.743,0.5322
K002,TestRig,47,2024-02-17,70.0,51.5,healthy,0.0,100.0,24.99,0.002,1.808,1.826,1.819,1.818,1.441,0.0173,2.0,0.0043,0.0043,0.98,0.0332,6.83,0.5566
K002,TestRig,48,2024-02-18,70.0,51.1,healthy,0.0,100.0,25.0,0.002,1.794,1.811,1.808,1.804,1.462,0.0167,2.0,0.0046,0.0055,0.93,0.0362,6.787,0.5854
K002,TestRig,49,2024-02-19,70.0,51.1,healthy,0.0,100.0,25.0,0.002,1.803,1.815,1.814,1.811,1.463,0.0174,2.0,0.0038,0.005,0.69,0.0352,7.076,0.5798
K002,TestRig,50,2024-02-20,70.0,51.1,healthy,0.0,100.0,25.0,0.002,1.798,1.814,1.809,1.807,1.451,0.0187,2.0,0.0082,0.0082,0.87,0.035,6.059,0.5692
K002,TestRig,51,2024-02-21,70.0,51.1,healthy,0.0,100.0,25.0,0.002,1.798,1.813,1.809,1.807,1.441,0.0178,2.0,0.0044,0.0046,0.85,0.0369,9.29,0.5374
K002,TestRig,52,2024-02-22,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.803,1.816,1.807,1.809,1.461,0.0159,2.0,0.0054,0.0054,0.76,0.0364,7.086,0.5798
K002,TestRig,53,2024-02-23,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.805,1.817,1.809,1.81,1.449,0.0163,2.0,0.0068,0.0068,0.69,0.0374,7.791,0.5675
K002,TestRig,54,2024-02-24,70.0,51.1,healthy,0.0,100.0,24.99,0.002,1.804,1.814,1.809,1.809,1.452,0.0136,2.0,0.0038,0.0043,0.56,0.0352,7.731,0.5818
